# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field1,part (m;s),type / templates,divider / values,unit,comment
w,cha,auswirkung_sg_pv_auf_kuehlbetrieb,(WP033) Auswirkung SG/PV auf Kühlbetrieb,,08,5023,00002F,auswirkung_sg_pv_auf_kuehlbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP033) Auswirkung SG/PV auf Kühlbetrieb
r,cha,bivalenzpunkt_verdichter_sg_pv,(WP034) Bivalenzpunkt Verdichter SG/PV,,08,5022,CCDC32,bivalenzpunkt_verdichter_sg_pv,,SIN,10,°C,(WP034) Bivalenzpunkt Verdichter SG/PV
w,cha,bivalenzpunkt_verdichter_sg_pv,(WP034) Bivalenzpunkt Verdichter SG/PV,,08,5023,00DC32,bivalenzpunkt_verdichter_sg_pv,,SIN,10,°C,(WP034) Bivalenzpunkt Verdichter SG/PV
r,cha,bivalenzpunkt_ehz_sg_pv,(WP035) Bivalenzpunkt EHZ SG/PV,,08,5022,CCDD32,bivalenzpunkt_ehz_sg_pv,,SIN,10,°C,(WP035) Bivalenzpunkt EHZ SG/PV
w,cha,bivalenzpunkt_ehz_sg_pv,(WP035) Bivalenzpunkt EHZ SG/PV,,08,5023,00DD32,bivalenzpunkt_ehz_sg_pv,,SIN,10,°C,(WP035) Bivalenzpunkt EHZ SG/PV
r,cha,bivalenzpunkt_zwe_sg_pv,(WP036) Bivalenzpunkt ZWE SG/PV,,08,5022,CCDE32,bivalenzpunkt_zwe_sg_pv,,SIN,10,°C,(WP036) Bivalenzpunkt ZWE SG/PV
w,cha,bivalenzpunkt_zwe_sg_pv,(WP036) Bivalenzpunkt ZWE SG/PV,,08,5023,00DE32,bivalenzpunkt_zwe_sg_pv,,SIN,10,°C,(WP036) Bivalenzpunkt ZWE SG/PV
r,cha,externe_absenkung_k,(WP037) Externe Absenkung K,,08,5022,CC0733,externe_absenkung_k,,SIN,10,°C,(WP037) Externe Absenkung K
w,cha,externe_absenkung_k,(WP037) Externe Absenkung K,,08,5023,000733,externe_absenkung_k,,SIN,10,°C,(WP037) Externe Absenkung K
r,cha,pumpenleistung_ww,(WP040) Pumpenleistung WW,,08,5022,CCDF32,pumpenleistung_ww,,UIN,,%,(WP040) Pumpenleistung WW
w,cha,pumpenleistung_ww,(WP040) Pumpenleistung WW,,08,5023,00DF32,pumpenleistung_ww,,UIN,,%,(WP040) Pumpenleistung WW
r,cha,vorlauftemperatur_fuer_poolbetrieb,(WP045) Vorlauftemperatur für Poolbetrieb,,08,5022,CC2A33,vorlauftemperatur_fuer_poolbetrieb,,SIN,10,°C,(WP045) Vorlauftemperatur für Poolbetrieb
w,cha,vorlauftemperatur_fuer_poolbetrieb,(WP045) Vorlauftemperatur für Poolbetrieb,,08,5023,002A33,vorlauftemperatur_fuer_poolbetrieb,,SIN,10,°C,(WP045) Vorlauftemperatur für Poolbetrieb
r,cha,verzoegerung_zwe_poolbetrieb,(WP046) Verzögerung ZWE Poolbetrieb,,08,5022,CC2B33,verzoegerung_zwe_poolbetrieb,,UIN,,min,(WP046) Verzögerung ZWE Poolbetrieb
w,cha,verzoegerung_zwe_poolbetrieb,(WP046) Verzögerung ZWE Poolbetrieb,,08,5023,002B33,verzoegerung_zwe_poolbetrieb,,UIN,,min,(WP046) Verzögerung ZWE Poolbetrieb
r,cha,freigabe_zwe_poolbetrieb,(WP047) Freigabe ZWE Poolbetrieb,,08,5022,CC2C33,freigabe_zwe_poolbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP047) Freigabe ZWE Poolbetrieb
w,cha,freigabe_zwe_poolbetrieb,(WP047) Freigabe ZWE Poolbetrieb,,08,5023,002C33,freigabe_zwe_poolbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP047) Freigabe ZWE Poolbetrieb
r,cha,aussentemp_freigabe_kuehlbetrieb,(WP053) Aussentemp. Freigabe Kühlbetrieb,,08,5022,CC142F,aussentemp_freigabe_kuehlbetrieb,,SIN,10,°C,(WP053) Aussentemp. Freigabe Kühlbetrieb
w,cha,aussentemp_freigabe_kuehlbetrieb,(WP053) Aussentemp. Freigabe Kühlbetrieb,,08,5023,00142F,aussentemp_freigabe_kuehlbetrieb,,SIN,10,°C,(WP053) Aussentemp. Freigabe Kühlbetrieb
r,cha,min_vorlauftemperatur_fuer_kuehlbetrieb,(WP054) Min. Vorlauftemperatur für Kühlbetrieb,,08,5022,CCE032,min_vorlauftemperatur_fuer_kuehlbetrieb,,SIN,10,°C,(WP054) Min. Vorlauftemperatur für Kühlbetrieb
w,cha,min_vorlauftemperatur_fuer_kuehlbetrieb,(WP054) Min. Vorlauftemperatur für Kühlbetrieb,,08,5023,00E032,min_vorlauftemperatur_fuer_kuehlbetrieb,,SIN,10,°C,(WP054) Min. Vorlauftemperatur für Kühlbetrieb
r,cha,freigabe_kuehlbetrieb,(WP058) Freigabe Kühlbetrieb,,08,5022,CC192F,freigabe_kuehlbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP058) Freigabe Kühlbetrieb
w,cha,freigabe_kuehlbetrieb,(WP058) Freigabe Kühlbetrieb,,08,5023,00192F,freigabe_kuehlbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP058) Freigabe Kühlbetrieb
r,cha,hysterese_kuehlbetrieb,(WP059) Hysterese Kühlbetrieb,,08,5022,CCE132,hysterese_kuehlbetrieb,,SIN,10,K,(WP059) Hysterese Kühlbetrieb
w,cha,hysterese_kuehlbetrieb,(WP059) Hysterese Kühlbetrieb,,08,5023,00E132,hysterese_kuehlbetrieb,,SIN,10,K,(WP059) Hysterese Kühlbetrieb
r,cha,nachtbetrieb_ende,(WP061) Nachtbetrieb Ende,,08,5022,CC1C2F,nachtbetrieb_ende,,BTI,,,(WP061) Nachtbetrieb Ende
w,cha,nachtbetrieb_ende,(WP061) Nachtbetrieb Ende,,08,5023,001C2F,nachtbetrieb_ende,,BTI,,,(WP061) Nachtbetrieb Ende
r,cha,nachtbetrieb_start,(WP062) Nachtbetrieb Start,,08,5022,CC1D2F,nachtbetrieb_start,,BTI,,,(WP062) Nachtbetrieb Start
w,cha,nachtbetrieb_start,(WP062) Nachtbetrieb Start,,08,5023,001D2F,nachtbetrieb_start,,BTI,,,(WP062) Nachtbetrieb Start
r,cha,limitierung_nachtbetrieb,(WP064) Limitierung Nachtbetrieb,,08,5022,CCE232,limitierung_nachtbetrieb,,UIN,,%,(WP064) Limitierung Nachtbetrieb
w,cha,limitierung_nachtbetrieb,(WP064) Limitierung Nachtbetrieb,,08,5023,00E232,limitierung_nachtbetrieb,,UIN,,%,(WP064) Limitierung Nachtbetrieb
r,cha,limitierung_tagbetrieb,(WP065) Limitierung Tagbetrieb,,08,5022,CCE332,limitierung_tagbetrieb,,UIN,,%,(WP065) Limitierung Tagbetrieb
w,cha,limitierung_tagbetrieb,(WP065) Limitierung Tagbetrieb,,08,5023,00E332,limitierung_tagbetrieb,,UIN,,%,(WP065) Limitierung Tagbetrieb
r,cha,aktivierung_nachtbetrieb,(WP066) Aktivierung Nachtbetrieb,,08,5022,CCE62E,aktivierung_nachtbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP066) Aktivierung Nachtbetrieb
w,cha,aktivierung_nachtbetrieb,(WP066) Aktivierung Nachtbetrieb,,08,5023,00E62E,aktivierung_nachtbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP066) Aktivierung Nachtbetrieb
r,cha,t_zuluft_keine_abtauung,(WP070) T_Zuluft keine Abtauung,,08,5022,CCE432,t_zuluft_keine_abtauung,,SIN,10,°C,(WP070) T_Zuluft keine Abtauung
w,cha,t_zuluft_keine_abtauung,(WP070) T_Zuluft keine Abtauung,,08,5023,00E432,t_zuluft_keine_abtauung,,SIN,10,°C,(WP070) T_Zuluft keine Abtauung
r,cha,sperrzeit_abtauung,(WP073) Sperrzeit Abtauung,,08,5022,CCE532,sperrzeit_abtauung,,UIN,,min,(WP073) Sperrzeit Abtauung
w,cha,sperrzeit_abtauung,(WP073) Sperrzeit Abtauung,,08,5023,00E532,sperrzeit_abtauung,,UIN,,min,(WP073) Sperrzeit Abtauung
r,cha,max_zeit_abtaubetrieb,(WP074) Max. Zeit Abtaubetrieb,,08,5022,CCE632,max_zeit_abtaubetrieb,,UIN,,min,(WP074) Max. Zeit Abtaubetrieb
w,cha,max_zeit_abtaubetrieb,(WP074) Max. Zeit Abtaubetrieb,,08,5023,00E632,max_zeit_abtaubetrieb,,UIN,,min,(WP074) Max. Zeit Abtaubetrieb
r,cha,laufzeit_luefter_nach_abtaubetrieb,(WP077) Laufzeit Lüfter nach Abtaubetrieb,,08,5022,CCE732,laufzeit_luefter_nach_abtaubetrieb,,UIN,,sec,(WP077) Laufzeit Lüfter nach Abtaubetrieb
w,cha,laufzeit_luefter_nach_abtaubetrieb,(WP077) Laufzeit Lüfter nach Abtaubetrieb,,08,5023,00E732,laufzeit_luefter_nach_abtaubetrieb,,UIN,,sec,(WP077) Laufzeit Lüfter nach Abtaubetrieb
r,cha,bivalenzpunkt_verdichter,(WP080) Bivalenzpunkt Verdichter,,08,5022,CCE832,bivalenzpunkt_verdichter,,SIN,10,°C,(WP080) Bivalenzpunkt Verdichter
w,cha,bivalenzpunkt_verdichter,(WP080) Bivalenzpunkt Verdichter,,08,5023,00E832,bivalenzpunkt_verdichter,,SIN,10,°C,(WP080) Bivalenzpunkt Verdichter
r,cha,freigabe_e_heizung_fuer_hz_betrieb,(WP090) Freigabe E-Heizung für HZ-Betrieb,,08,5022,CC392F,freigabe_e_heizung_fuer_hz_betrieb,,UIN,0x00=Aus;0x01=Ein,,(WP090) Freigabe E-Heizung für HZ-Betrieb
w,cha,freigabe_e_heizung_fuer_hz_betrieb,(WP090) Freigabe E-Heizung für HZ-Betrieb,,08,5023,00392F,freigabe_e_heizung_fuer_hz_betrieb,,UIN,0x00=Aus;0x01=Ein,,(WP090) Freigabe E-Heizung für HZ-Betrieb
r,cha,bivalenzpunkt_e_heizung,(WP091) Bivalenzpunkt E-Heizung,,08,5022,CCE932,bivalenzpunkt_e_heizung,,SIN,10,°C,(WP091) Bivalenzpunkt E-Heizung
w,cha,bivalenzpunkt_e_heizung,(WP091) Bivalenzpunkt E-Heizung,,08,5023,00E932,bivalenzpunkt_e_heizung,,SIN,10,°C,(WP091) Bivalenzpunkt E-Heizung
r,cha,evu_sperre_fuer_e_heizung,(WP092) EVU-Sperre für E-Heizung,,08,5022,CC3B2F,evu_sperre_fuer_e_heizung,,UIN,0x00=Aus;0x01=Ein,,(WP092) EVU-Sperre für E-Heizung
w,cha,evu_sperre_fuer_e_heizung,(WP092) EVU-Sperre für E-Heizung,,08,5023,003B2F,evu_sperre_fuer_e_heizung,,UIN,0x00=Aus;0x01=Ein,,(WP092) EVU-Sperre für E-Heizung
r,cha,typ_e_heizung,(WP094) Typ E-Heizung,,08,5022,CCEA32,typ_e_heizung,,UIN,0x00=Keine;0x01=3 kW;0x02=6 kW;0x03=9 kW,,(WP094) Typ E-Heizung
w,cha,typ_e_heizung,(WP094) Typ E-Heizung,,08,5023,00EA32,typ_e_heizung,,UIN,0x00=Keine;0x01=3 kW;0x02=6 kW;0x03=9 kW,,(WP094) Typ E-Heizung
r,cha,freigabe_ehz_warmwasserbetrieb,(WP095) Freigabe EHZ Warmwasserbetrieb,,08,5022,CCEB32,freigabe_ehz_warmwasserbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP095) Freigabe EHZ Warmwasserbetrieb
w,cha,freigabe_ehz_warmwasserbetrieb,(WP095) Freigabe EHZ Warmwasserbetrieb,,08,5023,00EB32,freigabe_ehz_warmwasserbetrieb,,UIN,0x00=Aus;0x01=Ein,,(WP095) Freigabe EHZ Warmwasserbetrieb
r,cha,bivalenzpunkt_zwe,(WP101) Bivalenzpunkt ZWE,,08,5022,CCEC32,bivalenzpunkt_zwe,,SIN,10,°C,(WP101) Bivalenzpunkt ZWE
w,cha,bivalenzpunkt_zwe,(WP101) Bivalenzpunkt ZWE,,08,5023,00EC32,bivalenzpunkt_zwe,,SIN,10,°C,(WP101) Bivalenzpunkt ZWE
r,cha,prioritaet_zwe_heizbetrieb,(WP102) Priorität ZWE Heizbetrieb,,08,5022,CCED32,prioritaet_zwe_heizbetrieb,,UIN,,,(WP102) Priorität ZWE Heizbetrieb
w,cha,prioritaet_zwe_heizbetrieb,(WP102) Priorität ZWE Heizbetrieb,,08,5023,00ED32,prioritaet_zwe_heizbetrieb,,UIN,,,(WP102) Priorität ZWE Heizbetrieb
r,cha,prioritaet_zwe_warmwasserbetrieb,(WP103) Priorität ZWE Warmwasserbetrieb,,08,5022,CCEE32,prioritaet_zwe_warmwasserbetrieb,,UIN,,,(WP103) Priorität ZWE Warmwasserbetrieb
w,cha,prioritaet_zwe_warmwasserbetrieb,(WP103) Priorität ZWE Warmwasserbetrieb,,08,5023,00EE32,prioritaet_zwe_warmwasserbetrieb,,UIN,,,(WP103) Priorität ZWE Warmwasserbetrieb
r,cha,zwe_ueber_e_bus,(WP104) ZWE über eBus,,08,5022,CC472F,zwe_ueber_e_bus,,UIN,0x00=Aus;0x01=Ein,,(WP104) ZWE über eBus
w,cha,zwe_ueber_e_bus,(WP104) ZWE über eBus,,08,5023,00472F,zwe_ueber_e_bus,,UIN,0x00=Aus;0x01=Ein,,(WP104) ZWE über eBus
r,cha,evu_sperre_zwe,(WP105) EVU-Sperre ZWE,,08,5022,CC1A33,evu_sperre_zwe,,UIN,0x00=Aus;0x01=Ein,,(WP105) EVU-Sperre ZWE
w,cha,evu_sperre_zwe,(WP105) EVU-Sperre ZWE,,08,5023,001A33,evu_sperre_zwe,,UIN,0x00=Aus;0x01=Ein,,(WP105) EVU-Sperre ZWE
r,cha,wertigkeit_der_s0_impulse_cha,(WP110) Wertigkeit der S0-Impulse CHA,,08,5022,CCEF32,wertigkeit_der_s0_impulse_cha,,UIN,,pls/kWh,(WP110) Wertigkeit der S0-Impulse CHA
w,cha,wertigkeit_der_s0_impulse_cha,(WP110) Wertigkeit der S0-Impulse CHA,,08,5023,00EF32,wertigkeit_der_s0_impulse_cha,,UIN,,pls/kWh,(WP110) Wertigkeit der S0-Impulse CHA
r,cha,wertigkeit_der_s0_impulse_einspeisezaehler,(WP111) Wertigkeit der S0-Impulse Einspeisezähler,,08,5022,CCF032,wertigkeit_der_s0_impulse_einspeisezaehler,,UIN,,pls/kWh,(WP111) Wertigkeit der S0-Impulse Einspeisezähler
w,cha,wertigkeit_der_s0_impulse_einspeisezaehler,(WP111) Wertigkeit der S0-Impulse Einspeisezähler,,08,5023,00F032,wertigkeit_der_s0_impulse_einspeisezaehler,,UIN,,pls/kWh,(WP111) Wertigkeit der S0-Impulse Einspeisezähler
r,cha,aktueller_energiepreis_zwe,(WP115) Aktueller Energiepreis ZWE,,08,5022,CCF232,aktueller_energiepreis_zwe,,SIN,10,Cent/kWh,(WP115) Aktueller Energiepreis ZWE
w,cha,aktueller_energiepreis_zwe,(WP115) Aktueller Energiepreis ZWE,,08,5023,00F232,aktueller_energiepreis_zwe,,SIN,10,Cent/kWh,(WP115) Aktueller Energiepreis ZWE
r,cha,aktueller_strompreis,(WP116) Aktueller Strompreis,,08,5022,CCF332,aktueller_strompreis,,SIN,10,Cent/kWh,(WP116) Aktueller Strompreis
w,cha,aktueller_strompreis,(WP116) Aktueller Strompreis,,08,5023,00F332,aktueller_strompreis,,SIN,10,Cent/kWh,(WP116) Aktueller Strompreis
r,cha,hybridbetrieb,(WP117) Hybridbetrieb,,08,5022,CCF432,hybridbetrieb,,UIN,0x00=Standard;0x01=Ökonomisch;0x02=Ökologisch,,(WP117) Hybridbetrieb
w,cha,hybridbetrieb,(WP117) Hybridbetrieb,,08,5023,00F432,hybridbetrieb,,UIN,0x00=Standard;0x01=Ökonomisch;0x02=Ökologisch,,(WP117) Hybridbetrieb
r,cha,verdichter_max_starts_pro_stunde,(WP121) Verdichter max. Starts pro Stunde,,08,5022,CC582F,verdichter_max_starts_pro_stunde,,UIN,,,(WP121) Verdichter max. Starts pro Stunde
w,cha,verdichter_max_starts_pro_stunde,(WP121) Verdichter max. Starts pro Stunde,,08,5023,00582F,verdichter_max_starts_pro_stunde,,UIN,,,(WP121) Verdichter max. Starts pro Stunde
